name,date (yyyy_mm_dd_hh_mm_ss),tag 1,tag 2,tag 3,tag 4
watch_027.jpg,2018_09_23_22_03_14,clear,working,scratched,
watch_028.jpg,2018_09_23_22_05_13,clear,working,scratched,
watch_029.jpg,2018_09_23_22_12_45,clear,working,scratched,
watch_030.jpg,2018_09_24_00_25_05,clear,class,scratched,
watch_031.jpg,2018_09_24_00_25_06,clear,class,eating,
watch_032.jpg,2018_09_24_01_24_46,clear,scratched,class,
watch_033.jpg,2018_09_24_01_29_23,clear,scratched,class,
watch_034.jpg,2018_09_24_01_37_50,clear,closeup,working,
watch_035.jpg,2018_09_24_01_40_23,clear,closeup,working,
watch_036.jpg,2018_09_24_02_16_26,clear,closeup,working,
watch_037.jpg,2018_09_24_03_01_20,blurry,closeup,scratched,
watch_038.jpg,2018_09_24_03_01_29,clear,closeup,working,
watch_039.jpg,2018_09_24_13_04_14,clear,closeup,working,
watch_040.jpg,2018_09_24_13_43_25,clear,closeup,working,
watch_041.jpg,2018_09_24_13_56_52,clear,closeup,scratched,
watch_042.jpg,2018_09_24_14_03_53,blurry,scratched,class,
watch_043.jpg,2018_09_24_14_27_45,clear,scratched,class,
watch_044.jpg,2018_09_24_17_46_04,clear,closeup,eating,
watch_045.jpg,2018_09_24_17_52_09,blurry,closeup,scratched,
watch_046.jpg,2018_09_24_17_54_23,clear,closeup,working,
watch_047.jpg,2018_09_24_17_56_15,clear,closeup,working,
watch_048.jpg,2018_09_24_18_09_33,clear,closeup,working,
watch_049.jpg,2018_09_24_18_27_58,blurry,scratched,working,
watch_050.jpg,2018_09_24_18_32_36,clear,working,closeup,
watch_051.jpg,2018_09_24_18_40_06,clear,working,class,
watch_052.jpg,2018_09_24_19_18_05,clear,working,class,
watch_053.jpg,2018_09_24_19_19_04,clear,closeup,scratched,
watch_054.jpg,2018_09_24_19_20_24,clear,closeup,scratched,
watch_055.jpg,2018_09_24_19_23_07,clear,closeup,eating,
watch_056.jpg,2018_09_24_23_35_45,blurry,closeup,scratched,
watch_057.jpg,2018_09_25_00_51_58,clear,class,working,
watch_058.jpg,2018_09_25_01_49_08,clear,class,working,
watch_059.jpg,2018_09_25_02_22_02,clear,eating,working,
watch_060.jpg,2018_09_25_03_20_57,clear,scratched,working,
watch_061.jpg,2018_09_25_03_41_06,clear,scratched,working,
watch_062.jpg,2018_09_25_04_22_11,clear,closeup,working,
watch_063.jpg,2018_09_25_04_29_10,blurry,closeup,working,
watch_064.jpg,2018_09_25_04_36_50,clear,closeup,working,
watch_065.jpg,2018_09_25_04_55_05,clear,closeup,scratched,
watch_066.jpg,2018_09_25_05_07_29,clear,closeup,class,
watch_067.jpg,2018_09_25_05_26_58,clear,working,class,
watch_068.jpg,2018_09_25_05_55_01,blurry,working,class,
watch_069.jpg,2018_09_25_06_14_49,clear,working,class,
watch_070.jpg,2018_09_25_18_14_49,clear,scratched,working,
watch_071.jpg,2018_09_25_18_26_37,clear,closeup,scratched,
watch_072.jpg,2018_09_25_18_35_28,clear,closeup,scratched,
watch_073.jpg,2018_09_25_18_38_15,clear,closeup,eating,
watch_074.jpg,2018_09_25_18_39_29,blurry,class,scratched,
watch_075.jpg,2018_09_25_18_40_31,clear,class,eating,
watch_076.jpg,2018_09_25_18_41_38,blurry,class,scratched,
watch_077.jpg,2018_09_25_18_43_15,clear,closeup,scratched,
watch_078.jpg,2018_09_25_18_45_03,clear,closeup,scratched,
watch_079.jpg,2018_09_25_18_46_48,clear,closeup,scratched,
watch_080.jpg,2018_09_25_18_48_08,clear,working,eating,
watch_081.jpg,2018_09_25_18_48_53,blurry,working,eating,
watch_082.jpg,2018_09_25_18_50_14,clear,working,eating,
watch_083.jpg,2018_09_25_18_51_32,clear,eating,eating,
watch_084.jpg,2018_09_25_18_52_44,clear,closeup,eating,
watch_085.jpg,2018_09_25_18_53_41,blurry,closeup,eating,
watch_086.jpg,2018_09_25_18_54_44,clear,closeup,eating,
watch_087.jpg,2018_09_25_18_56_33,clear,class,eating,
watch_088.jpg,2018_09_25_18_57_27,clear,class,eating,
watch_089.jpg,2018_09_25_18_58_22,clear,closeup,class,
watch_090.jpg,2018_09_25_18_59_22,blurry,closeup,class,
watch_091.jpg,2018_09_25_19_01_11,clear,closeup,class,
watch_092.jpg,2018_09_25_19_02_45,clear,scratched,eating,
watch_093.jpg,2018_09_25_19_04_16,blurry,closeup,class,
watch_094.jpg,2018_09_25_19_05_52,clear,closeup,class,
watch_095.jpg,2018_09_25_19_06_38,clear,closeup,class,
watch_096.jpg,2018_09_25_19_07_35,clear,working,class,
watch_097.jpg,2018_09_25_19_08_16,blurry,working,class,
watch_098.jpg,2018_09_25_19_13_57,clear,scratched,class,
watch_099.jpg,2018_09_25_19_39_56,blurry,scratched,class,
walking_shoes_000.jpg,2018_09_17_11_43_12,shoes,indoor,brush,
walking_shoes_001.jpg,2018_09_17_11_45_43,shoes,indoor,elevator,
